Gene	FDR_Pvals
AC009404.2	0.009531014211674238
ERP29	0.009531014211674238
LINC01094	0.009544331627390271
PTGES3P1	0.009544331627390271
PLEKHG2	0.009544331627390271
TANK	0.009544331627390271
RBM17P1	0.009544331627390271
ASCL2	0.00956385661665943
RP11-723O4.6	0.009604492797387397
AC007969.5	0.009604492797387397
NDUFA3	0.00960504684456886
RP11-116B19.2	0.00960504684456886
CD74	0.009627033118275239
DNAJC17	0.009651131496612361
SAMSN1	0.009655444945348124
KLHL6	0.009686900195893095
ANO7L1	0.009686900195893095
SAMD9	0.009689802757949041
ZSCAN26	0.009689802757949041
FAM13A	0.009710665001484901
TMEM252	0.009713523661635689
GCA	0.009713523661635689
UBN2	0.009769059074204915
USP33	0.009769059074204915
DOK2	0.009769059074204915
CPEB4	0.009789431277226751
ACSL3	0.009841695014699336
CCDC130	0.009841695014699336
NEURL1	0.00984187632746493
RP11-20I20.4	0.00984187632746493
EIF2D	0.009873551715434524
RFNG	0.009884372894479902
PSTPIP2	0.009902390465097458
TBC1D8B	0.009902390465097458
ENC1	0.009908339565541914
UGCG	0.009974124650991366
NSUN7	0.009974124650991366
ZC3H6	0.009977233671147638
CLIP1	0.009977233671147638
VPS4A	0.010030246104888675
POMT1	0.010030246104888675
RP11-706O15.5	0.010030246104888675
IZUMO4	0.01004862916033609
S1PR2	0.010077295065805994
KCNJ2-AS1	0.01010070631847697
LDLRAD2	0.01011629277232519
SNF8	0.010119240959803282
AKTIP	0.010127380397284912
MARVELD2	0.010127380397284912
LINC01410	0.010293861298956222
PDSS1	0.01030364322876779
PKN1	0.010323516080445808
SCAF11	0.010323516080445808
SCYL3	0.010323516080445808
MMP23B	0.010323516080445808
ZNF217	0.010345501447443709
RP11-676B18.2	0.010345501447443709
NCDN	0.010410905825933767
MSL1	0.010413727040125888
TCEANC	0.010428891640711554
HLA-F-AS1	0.010428891640711554
PABPN1	0.010444481916998928
OSBPL9	0.01046663602058206
TSPEAR-AS2	0.010478967083414614
POLI	0.010523950093310168
ACAP3	0.010544941094679185
EMP3	0.010633457160614868
CNOT9	0.010633457160614868
DDX56	0.010633457160614868
RP11-528A10.1	0.01067379432809977
SSH1	0.010712181264575767
MAN1B1	0.01071872865274023
EDC4	0.010719099718987693
NDUFV1	0.010778028063888492
PDZD11	0.010778028063888492
APOBEC3C	0.010778028063888492
TRIM9	0.010778631128716918
SUPT5H	0.010796288435481704
CTA-242H14.1	0.010796288435481704
BRD9	0.01092555803027566
KIAA0040	0.010932934518375854
ATRAID	0.010955831559366878
ARSH	0.010956857450439405
RASA2	0.010956857450439405
CBWD7	0.010984584934209759
TESMIN	0.010984584934209759
RP11-442P12.2	0.01098523221796634
REM2	0.011032464605638689
TBL1Y	0.011035160512439024
SPNS3	0.011068956191652256
CTD-2245F17.3	0.011122900981463037
NDST3	0.011122900981463037
TMEM43	0.011122900981463037
FAM9B	0.011149204528670256
FAM96B	0.011209287575482991
ACSL1	0.011249361674628202
KREMEN1	0.011299698177828242
GTDC1	0.011302051740121567
C6orf106	0.011333484024490038
LRRC37B	0.011340074855944508
SAMD15	0.011413086931740996
CXorf40B	0.011449096809901402
INTS6-AS1	0.011449096809901402
AD000864.6	0.011449096809901402
RP11-326C3.12	0.011474515022231714
SSR4	0.011474515022231714
ABCF3	0.011480540540390688
TNFRSF10B	0.011505864280507264
SNTB2	0.011505864280507264
IRAK4	0.011540452144128886
EPCAM	0.011540452144128886
LDHD	0.011540452144128886
RBMS1P1	0.011553345410699639
RNU4-4P	0.011561208938282441
MPP7	0.011561208938282441
CYP26A1	0.011561208938282441
FDPSP2	0.011561208938282441
AP1B1	0.011561208938282441
RD3L	0.011561208938282441
PANK4	0.011561208938282441
FBXO30	0.011561208938282441
SH3TC1	0.011561208938282441
PGAP2	0.01156790617143475
WDR18	0.01157932163720122
EIF2B4	0.01161212503827567
EXOC6	0.0116264260587962
MIR3945HG	0.011639165909938463
CST3	0.011639165909938463
MPV17	0.011649459862764461
B4GALNT4	0.011680163582070267
SSFA2	0.011680163582070267
IDO1	0.011680163582070267
KIR3DL2	0.011732862746167846
STX18	0.011732862746167846
E2F3	0.011735133801441736
SPON2	0.011799851982253553
NAIP	0.011812482473478688
AF064858.8	0.011847979062799505
OR6E1P	0.011847979062799505
KBTBD2	0.011847979062799505
BAZ1A	0.011860201700437225
NDUFS8	0.011919754020234341
LSM12	0.011926852806469936
AC004967.7	0.011926852806469936
ARSF	0.011926852806469936
PDE5A	0.011926852806469936
ZNF223	0.011926852806469936
HINT3	0.011926852806469936
RP11-547M24.1	0.011926852806469936
OLAH	0.011926852806469936
RP11-443B7.1	0.011926852806469936
GRIK4	0.011997932058854698
RP3-406P24.5	0.012020415581955225
PTGER1	0.012161369898915425
UROS	0.01219726849694928
NFE2L3	0.01220856555222264
QRICH1	0.01221612854989494
U2AF2	0.01221612854989494
RP11-8H2.1	0.0122579315616035
RP11-71G12.1	0.01226925353593591
ALKBH7	0.01226925353593591
PTPN9	0.01226925353593591
SMAGP	0.012289025046035934
CSF1R	0.012289025046035934
SLC4A9	0.012302943723475594
RNF121	0.012302943723475594
RP11-277J24.1	0.012302943723475594
ZNF700	0.012302943723475594
DDX19B	0.012302943723475594
RP11-429G19.3	0.012302943723475594
RP11-142L4.2	0.012302943723475594
MUC12	0.012302943723475594
PFKP	0.012316474980353985
PIAS2	0.012349762451232822
SPRY3	0.012349762451232822
FAM89A	0.012356099931495779
SSBP4	0.012356099931495779
NT5C3A	0.012361078327981312
AJ003147.9	0.012390958701616678
LIN7A	0.012425018798744329
EXOC1	0.01245010338085875
IL9R	0.01245010338085875
CCNJ	0.012510932742182906
CBARP	0.01252233777606477
SVIL	0.012613494950428374
GUSB	0.01262273438845782
GPBP1L1	0.012653719771030853
DVL1	0.01269513457738059
KRT8P14	0.012700261878328059
AGPAT3	0.012700861800415532
RP11-296O14.3	0.012705095691838694
RP11-925D8.3	0.012744541626518006
GALNT4	0.012744541626518006
RP11-556I13.2	0.012746006850534402
ZNF394	0.01275594764234815
SBF1	0.01275594764234815
PTPRC	0.01275594764234815
NOP9	0.01275594764234815
VPS52	0.01275594764234815
AP3B2	0.012793865580303572
STX3	0.012804531698818374
MOSPD2	0.012829386261363783
ABHD12	0.012829386261363783
RP11-19J5.1	0.012829386261363783
CLN3	0.012840711402010464
TMEM147	0.012840711402010464
TRIM22	0.012840711402010464
SERGEF	0.012844227681102093
SLC26A8	0.012869993572379966
RP11-7F17.8	0.012869993572379966
PEX10	0.012924713887514214
HCST	0.01294329845960822
ZNF709	0.012971263409657837
C16orf62	0.01301939569860434
SPTLC1	0.01301939569860434
PI4KB	0.01301939569860434
NBDY	0.01301939569860434
ZNF737	0.01301939569860434
CCPG1	0.01301939569860434
ZDHHC8	0.01301939569860434
GPR35	0.01301939569860434
EXT1	0.01301939569860434
RP11-395I14.2	0.01301939569860434
STK3	0.01301939569860434
CUTA	0.013055488894796673
SLC37A3	0.013055488894796673
TMEM107	0.013072286663638974
ZNF723P	0.013080000372659807
CTD-2006H14.2	0.013113230403710988
ZNF33A	0.013125600751719493
PFDN2	0.013128629420395199
RP11-326C3.13	0.013177813389605258
RPL29P24	0.013214801362970003
RASGEF1A	0.013252070898767284
TBL3	0.013256784110508922
ZC3H12C	0.013270072144616271
PEX14	0.013270072144616271
PPP4R2	0.013270072144616271
ZCCHC6	0.013270072144616271
UBE2J1	0.013270072144616271
COPS6	0.013270072144616271
KIAA1107	0.013270072144616271
ARFIP2	0.013270072144616271
NDUFB8	0.013270072144616271
STX7	0.013270072144616271
NPRL3	0.013284562771659264
PRCD	0.013381847760249697
ZNF268	0.013381847760249697
PIK3R3	0.013381847760249697
TSPAN17	0.013381847760249697
CALCRL	0.013381847760249697
C17orf49	0.013381847760249697
PSIP1	0.013381847760249697
HECW2	0.013381847760249697
TFAM	0.013381847760249697
PABPC1	0.013401958493690884
RP11-61I13.3	0.013404968547473762
PSMA3-AS1	0.013412186929010169
TMEM60	0.013591297135403482
SERBP1	0.013605616943641933
FBXW5	0.013647517987896044
AKT2	0.013647517987896044
DNAJC25	0.013652890920680399
ATP6V1C1	0.013652890920680399
CPEB1-AS1	0.0136570690492079
CTD-2027I19.2	0.013666137769384244
CCP110	0.013679707593104702
HDLBP	0.013679707593104702
KRT86	0.013707614003315348
MT-CO1	0.013747604892675663
IPMK	0.013747604892675663
RP11-473M20.5	0.013759647277891198
RP11-661A12.9	0.013759647277891198
TRBV24-1	0.013759647277891198
ETFBKMT	0.01377676122236084
RP11-33B1.1	0.01377676122236084
RP11-336A10.4	0.013804977885575559
SRRT	0.013816734459589822
FCGR3B	0.013833084585553103
PNISR	0.01384154456831945
RHOXF1P2	0.01384154456831945
CCNE2	0.01384154456831945
DDRGK1	0.01384154456831945
DNAJC9-AS1	0.01384154456831945
PLIN4	0.01384154456831945
SMAD4	0.01384154456831945
IL12RB1	0.013900741491325468
C19orf24	0.013900741491325468
ARFRP1	0.013961182202615737
SAMD7	0.014021222794377923
ARG1	0.014021222794377923
LINC00639	0.014021222794377923
SELENOW	0.014021222794377923
UBE2MP1	0.014021222794377923
VPS11	0.014098447813785225
RELA	0.014098447813785225
ZSCAN30	0.014108390220153932
SYCP2	0.01411875206113112
C4orf32	0.014129533894163696
THRB-AS1	0.014147281184622364
RP11-571I18.4	0.01417274918882838
VIPR2	0.014222552364696254
XRN1	0.01424942766234477
RP13-128O4.3	0.014267790416349312
DNAJC3	0.014267790416349312
RP11-670E13.3	0.014267790416349312
CTNNBL1	0.014273115581282294
MRPL55	0.014325021235372767
TRIM28	0.014325021235372767
FICD	0.014355383221734535
PSMB6	0.014381621101741262
KIAA0319	0.014381621101741262
ELF1	0.014381621101741262
TRIM62	0.014381621101741262
MDM1	0.014381621101741262
ST6GALNAC3	0.014387596598940672
CHUK	0.014387596598940672
EFNA1	0.014387596598940672
C18orf25	0.01441058735234934
DDX59	0.014415175676311164
CTD-2619J13.5	0.0144179644863303
GALNT14	0.014477415932749954
SLK	0.014505444852366935
IQSEC2	0.014524623140723707
CDK18	0.014571185801184524
MGAM	0.014574623469617793
SNRPB	0.014594991020789238
ZNF616	0.014617560012624722
ST3GAL4-AS1	0.014635669184459852
C6orf89	0.014635669184459852
TMEM216	0.014635669184459852
RP11-1109F11.3	0.014652872772142127
ENTPD1	0.014652892205167401
ATP5B	0.014662133974959583
RP11-361F15.5	0.014662133974959583
RPL12P27	0.014692491843641749
IFI16	0.014712705384987475
RP11-498P14.3	0.014712705384987475
KIAA1551	0.014719702029350345
KCTD17	0.0147773819397042
IRAK3	0.0147876698498203
USP9X	0.014808622163581423
CLEC4D	0.014868318153611967
PKIA-AS1	0.014882776336345872
IGF1R	0.014882776336345872
PTPN7	0.014882776336345872
TBC1D14	0.014882776336345872
LINC01270	0.014882776336345872
MAP2K5	0.014906714189114566
PCNX4	0.014906801055325079
ARL6IP6	0.01491844944503259
C11orf54	0.014925372956524527
TSPEAR-AS1	0.014925372956524527
NAAA	0.014973241627135456
ATG2B	0.014983294031373696
BCL7C	0.015018770954999247
CASP4	0.015030713669200124
KIAA1324	0.015033063644826707
PAX8-AS1	0.015033063644826707
ELK1	0.015033063644826707
SOS2	0.015040563215442247
AK4P6	0.015040563215442247
FOSL1	0.015055401875569622
RP11-298I3.1	0.015081849284374416
PLCH1	0.015086329612965872
TCF7L2	0.015096165924690914
SND1-IT1	0.01509799523553643
RBM47	0.015138234921095275
RNF212	0.015138234921095275
IRF2	0.015146329680576573
ELOA	0.01515021285631943
CYGB	0.01520736726861916
TAF1C	0.01520736726861916
RMI1	0.01520736726861916
TRIM60P18	0.01520736726861916
MMP25-AS1	0.01520736726861916
CELF2	0.015251142080235697
TMPRSS9	0.015251142080235697
LRRN2	0.015251142080235697
MFSD12	0.015251142080235697
SLC22A4	0.015251142080235697
CAB39	0.015282028029657509
CLPP	0.015417090152762106
LTK	0.015463915941313883
PPP1R14B	0.015463915941313883
TARBP2	0.015463915941313883
LINC02035	0.01546905650572652
TMEM253	0.015476776938505736
PEX12	0.015488698218039087
NAPA	0.015513408379503674
GK-AS1	0.015526441813696295
AC008592.8	0.015594565972461415
ZBTB34	0.01559616772058398
PSMG2	0.015621893204572293
VNN2	0.015631520577108583
POLR3E	0.015644578304359457
NONO	0.015651168874215183
NBR1	0.015651168874215183
TRIM25	0.015651168874215183
ATXN1	0.015651168874215183
COL4A3BP	0.01565336240692442
MARCKSL1	0.01569982946544413
ACADVL	0.015717048923480883
MCC	0.015770483882754916
ZNF197	0.01579000401304334
ARFGEF1	0.015805784581165275
MINDY4B	0.015825714295022685
ZNF526	0.015825714295022685
UBLCP1	0.015825714295022685
RP4-647J21.1	0.015942223484771884
PSMD11	0.016035653839460765
TCF3P1	0.016046337910371113
RN7SL271P	0.016062183248527633
FAM160B1	0.016062183248527633
AP000355.2	0.016062183248527633
RP11-78B10.2	0.016075776674589055
TXN2	0.016099641579330252
KRT18P8	0.016262198116522332
FAM27E3	0.016262198116522332
RBMS1	0.016269805139780703
PCNX1	0.01629790723576162
MYO1B	0.016333909017282374
VCPIP1	0.016333909017282374
ZNF396	0.016387600140937934
RAD23A	0.016396520494958582
KCNH7	0.016414555266062062
SEC61A2	0.016414555266062062
ACCS	0.016414555266062062
WDR35	0.016414555266062062
C9orf84	0.016414555266062062
WDR74	0.016437564289875268
AC002456.2	0.016437564289875268
SLC41A3	0.016437564289875268
INTS8	0.016437564289875268
TSPEAR	0.016437564289875268
SAGE1	0.016437564289875268
ATP2B4	0.016437564289875268
RALGAPA2	0.016439577145046083
PIK3R6	0.016479329032546883
AFF1	0.016495962729805486
WDR83	0.01650461701317654
RP11-693J15.5	0.016584152302538256
AHCTF1	0.016584152302538256
ERCC6L2	0.016584152302538256
IFFO1	0.01659906568161223
CTD-2007H13.1	0.01659906568161223
RASSF4	0.01659906568161223
ZNF350	0.016599900560223174
SIRT5	0.016601916435566084
SLC4A3	0.01675184574361949
STAT5B	0.016772418050466177
VAV3	0.016882876308621505
LOXL1-AS1	0.016892252749133682
ATXN2L	0.01690620022202471
ARID4A	0.01690620022202471
CDK10	0.01690620022202471
HAVCR2	0.016921413026620376
POLD3	0.017022689685726868
ZNF43	0.017022689685726868
SF3A2	0.01702973083740965
TLR8-AS1	0.01711864855238325
RP11-66N24.3	0.01711864855238325
SDCBP	0.01712654289086866
SHOX2	0.01721777697239985
C8orf31	0.017225370429415736
ABCC10	0.01731324706968841
PIK3CG	0.01731324706968841
GSTM4	0.01734113097515171
LZTR1	0.017346274579185923
CMTM6	0.017346274579185923
RP11-424I19.2	0.017355016391624317
ZNF660	0.017355016391624317
HECTD3	0.01737077281752319
SNX13	0.01737077281752319
KLHL12	0.017415454881454975
RP11-66B24.4	0.017415454881454975
MARCH5	0.017417076258235874
NOC4L	0.017417146536993344
ZNF397	0.017430784054184897
PCOLCE	0.01746941559276617
KLHL8	0.017507197744681752
AC016831.6	0.017513822605435523
RN7SKP97	0.017513822605435523
KRTCAP2	0.01752922856813464
SLC8A1	0.01753872426629319
CTD-2313J17.5	0.01753872426629319
CTD-2587H24.10	0.01753872426629319
LINC01058	0.01753872426629319
ECD	0.01754251464109432
ATN1	0.01754251464109432
OGFOD1P1	0.017554548008767448
RP11-164P12.5	0.017567303217412893
TM4SF20	0.017577544217391113
HNRNPUL1	0.017608127609768733
MADD	0.017640223162263956
MIGA2	0.017640223162263956
GCDH	0.017640223162263956
GNL1	0.017640223162263956
TRIM3	0.01766085450296031
ZNF667	0.01772453531658294
TMEM220	0.01773170137692148
MXD3	0.017743820522042524
ZNF441	0.017769360168990448
SYMPK	0.017778822269028122
APC	0.017778822269028122
NFKBID	0.017810257335032182
DMAP1	0.017825154949625034
CHMP4B	0.017866017611678053
FBXL3	0.01790536169611005
RABEP2	0.01791326346349078
SCARNA7	0.01797805451011462
ASXL2	0.018005214336364525
C19orf66	0.018005214336364525
RP11-466F5.3	0.018005214336364525
RP4-730K3.3	0.01810925758048552
TGDS	0.018145368779501923
TNPO3	0.01814879345098046
ZNF540	0.018153754243697355
C17orf53	0.018153754243697355
DICER1	0.018153754243697355
RNPS1	0.018157306349189505
LINC01127	0.0181853384946324
STEAP4	0.01821092051906233
MFAP3	0.01821092051906233
GYG1	0.01821092051906233
FRG1EP	0.01823290255618573
PPP1R3B	0.01825613409026205
RPS11	0.018294620661832156
PRDM13	0.018294620661832156
TIMM50	0.018294620661832156
RP11-848G14.2	0.018303048069014605
HCG21	0.018354978910700908
RP11-996F15.2	0.018356941295587806
MARCH7	0.01839438882968505
NELFE	0.018408855194074605
TSNAX	0.018455040808110276
PTGES	0.018461283450565216
TMEM238	0.01849003578230486
TMED3	0.018535250741236936
C9orf16	0.01858651110868755
AC073283.4	0.0185942922815917
EIF3H	0.0185942922815917
PITPNC1	0.0185942922815917
ATP9A	0.0185942922815917
TUG1	0.0185942922815917
DHRS11	0.01860863420027269
C6orf226	0.01860863420027269
CTB-31N19.3	0.01860863420027269
ZNF273	0.01869150986954419
RPS2	0.01869629129528382
TOR1AIP1	0.01869629129528382
TWSG1	0.018793035408160106
GRASP	0.018893240083563256
NME8	0.018893240083563256
ALOX15B	0.018893240083563256
CAPN15	0.018893240083563256
AL590762.7	0.01891269115936113
RP11-881M11.2	0.018932358221251614
RP13-16H11.8	0.018952202616966465
CTD-3220F14.3	0.019032610960077828
GNA15	0.019032610960077828
TRMT1L	0.01903727153111725
DDX17	0.01903727153111725
ZNF681	0.0190537886032626
TDP2	0.019092207303314193
ZNF81	0.019096634459673485
ZNF107	0.019096634459673485
IDI1	0.019099801124009178
RP11-44F14.6	0.019099801124009178
ARHGAP26	0.019099801124009178
BTBD6	0.019099801124009178
RAB14	0.01916236615046019
FAM26E	0.01916236615046019
FUOM	0.01916236615046019
RP11-217B7.3	0.01916236615046019
THRB	0.01916236615046019
VCX3B	0.01916236615046019
B3GNT9	0.01916236615046019
NSMF	0.01916236615046019
RP11-386M24.9	0.01916236615046019
RP11-158H5.8	0.01916236615046019
POLR2L	0.019223848012201596
RABL6	0.019258673971224043
TMED4	0.019260639979505296
NOC2L	0.01931524730651297
SMARCB1	0.01931524730651297
GTF3C5	0.01931524730651297
RBL2	0.019349222986562033
DCP2	0.019359344559112455
KCNE1	0.01938361817562055
CEP44	0.01939033219016718
FKBP5	0.01939033219016718
ZNF267	0.01939033219016718
DRAM1	0.01941100169286448
TMC6	0.01941231679785709
TUBGCP6	0.0194495512797186
VDAC1	0.0194495512797186
AAAS	0.0194495512797186
KMT5B	0.019466027847680503
CTD-3064M3.3	0.019495706648342485
RP11-21K12.3	0.019504166887580242
EIF4B	0.019537315687532475
BMX	0.019537315687532475
RP11-731C17.2	0.019537315687532475
JADE1	0.019537315687532475
AREL1	0.01956526212509402
MORF4L1P5	0.01956526212509402
NCOR2	0.01958977898036681
KCTD15	0.01963162157792225
KCNK10	0.01963162157792225
IFIT5	0.01963162157792225
GPX4	0.01963162157792225
RP11-711M9.2	0.01963162157792225
RP11-347C18.1	0.019724630752729382
ZNF767P	0.01973290083697924
RP11-153M7.5	0.01974313099568685
LINC00906	0.019753377849045534
RRM2B	0.019762919920037727
C1orf159	0.01978845271525111
IL1R1	0.01978845271525111
RP11-775C24.3	0.01978845271525111
RP11-74J13.8	0.01978845271525111
PPP1R12A	0.019814387720514505
PDE4A	0.019853301634426862
NFKBIE	0.019882679438070552
CYB5B	0.01989790071297577
GFER	0.01989790071297577
AC093495.4	0.01991540163304654
CA12	0.019939371105849382
TRAPPC8	0.020014757551382018
HCG27	0.020014757551382018
RP11-644F5.15	0.02006343085690243
RPL30P7	0.02006343085690243
PHPT1	0.02006343085690243
TLR6	0.02006343085690243
RP11-47L3.1	0.02006343085690243
MED15	0.02007477161774829
RP4-591B8.3	0.02009288726939818
PPP1R9B	0.020171766549873474
STXBP3	0.020186658728685827
RP11-1074O12.1	0.020186658728685827
ZNF354A	0.02021922151565784
APOBEC3G	0.02021922151565784
RP11-757G1.5	0.020285916558301895
RAB18	0.020285916558301895
HEATR5A	0.020295538511767065
SSH2	0.020300295753897347
VEGFC	0.020300295753897347
NDUFAF7	0.020300295753897347
SAMM50	0.02032642255025515
ZNF385A	0.020346766872287623
ERLIN1	0.020387310398985635
RP11-549J18.1	0.020387310398985635
KIAA1958	0.020461960581285663
RP11-436H11.5	0.020462008722167944
EEF1G	0.020462677737017602
RP11-351I24.3	0.02056387323177421
FCGR1B	0.0205804627268454
AC009229.6	0.020583301990386972
DYNLT1	0.020583301990386972
GZMB	0.020583301990386972
RPL18A	0.020586976004521768
PFKFB2	0.020603909804425058
DNLZ	0.020662926015419282
KIAA0922	0.020662926015419282
MAP2K4	0.020707418712819416
AMY2B	0.02075141782527118
TET2	0.02076283625900327
CTD-2325P2.3	0.020797913684507483
RP11-488L18.10	0.020797913684507483
PID1	0.02081148837790866
KRCC1	0.0208139981797182
CMTM1	0.020896620273507124
RP11-226L15.5	0.020936931705296865
SLC22A15	0.02097468111173492
CRYBB1	0.020983398940408567
FAM129A	0.020983398940408567
RALGPS2	0.020983398940408567
UBE2V1	0.020983398940408567
TGFBI	0.020983398940408567
PRKAR1A	0.020983398940408567
RN7SKP17	0.020983398940408567
PSME2	0.020983398940408567
CERCAM	0.020983398940408567
HACD4	0.020983398940408567
ZNF844	0.020983398940408567
RP11-561P12.5	0.021026762598574313
ZNF485	0.02103487087584336
ASMTL	0.02103487087584336
USP6	0.021097672183786425
THAP5	0.021101675885502585
TLR2	0.021102015481369665
RP11-488C13.4	0.021200935532949754
RP13-297E16.4	0.021200935532949754
SPSB3	0.021200935532949754
CEBPB-AS1	0.02121128758536562
ZNF148	0.02121128758536562
NXF1	0.021221509629272037
ADAMTS2	0.021221509629272037
RP1-228H13.5	0.021221509629272037
LINC01717	0.021233335329429545
BICDL2	0.02124199761034645
DDX27	0.02128757016765598
TSR2	0.021300656277981785
FAM174B	0.021300656277981785
USP10	0.021300656277981785
PLEKHN1	0.021304339604056102
SPATA13	0.02131236593362648
GAB1	0.02131236593362648
SDHA	0.02131236593362648
RP11-93O14.1	0.02132435909936692
HEXA	0.02132443131821384
IL10RB	0.021363385533987294
C6orf136	0.021385806394074735
VCX3A	0.021385806394074735
TRDC	0.021385806394074735
WDR46	0.021418323019350288
DDX58	0.021418574385665582
MUT	0.021452112002455077
CTD-2165H16.3	0.021452112002455077
CEBPZOS	0.021550824667778655
THAP1	0.02159041544664832
C12orf54	0.021625310938413064
ZNF559	0.021645233469898256
RAPGEF1	0.021662190947488825
EPC2	0.021662190947488825
C1GALT1C1	0.021662190947488825
GTF3C1	0.02170056105437848
USP30-AS1	0.02173775843497997
C19orf47	0.02173775843497997
SHANK1	0.021750952116901926
ACSS3	0.021796430367457428
AGAP1	0.02182580666938941
ARL6IP4	0.021837561668339847
RAB5A	0.02185186698614261
UBE2W	0.021863324283761573
FOXK2	0.02194000379223801
CSGALNACT2	0.021953408068772644
RPL7A	0.021953408068772644
PLD2	0.021953408068772644
S100A10	0.021953408068772644
UFC1	0.022011730298860003
BNIP3P16	0.02202512762035569
IL17RE	0.02202512762035569
LINC01835	0.02202512762035569
YIPF4	0.02202512762035569
NEXN	0.02202512762035569
FAM49B	0.022061609253313037
XRCC4	0.022061609253313037
RP11-18H7.1	0.022061609253313037
ECHDC3	0.022061609253313037
NLRC4	0.022061609253313037
RP11-188P20.3	0.022088297936061176
ABI3	0.022104161777929208
AC093627.12	0.0221518580655545
TRIM23	0.0221518580655545
ZNF578	0.022196241811347505
VASH1	0.02224625686909837
MRPL10	0.022263172146387445
SLC8A1-AS1	0.022296381352562043
MCRIP1	0.022298717452512662
WDR89	0.022298717452512662
AC003090.1	0.022298717452512662
CACNB1	0.022302016970778483
ATP11A	0.022302016970778483
ZFYVE19	0.022302016970778483
EXT2	0.022330054340596255
USP43	0.022330054340596255
ADM2	0.022346011108293304
A1BG-AS1	0.022378220278176132
IRS2	0.022378220278176132
MMP24-AS1	0.022378220278176132
C3orf20	0.022378220278176132
UBE3B	0.022409727372392736
APAF1	0.02243985125136152
LYRM1	0.022463755139711175
ANTXR2	0.022482612309840694
PMEPA1	0.022482612309840694
PLA2G7	0.022617564976878356
CASP3	0.022655277833386236
F8	0.022668050337183644
TSPAN32	0.02271441483471544
NMRAL2P	0.02271441483471544
RP11-456P18.2	0.02284970563823564
DOCK11	0.02284970563823564
CYP4F29P	0.02284970563823564
RPS29P14	0.02284970563823564
RN7SKP282	0.02284970563823564
RP11-296O14.2	0.022925409976974127
AC091878.1	0.02292771604077079
RNF24	0.022928453020443065
RPS2P46	0.02297628417593353
WBSCR22	0.02297628417593353
TMEM87A	0.02297628417593353
PPID	0.02297628417593353
NBL1	0.02297990050861801
RBM33	0.023115646813900534
THAP6	0.023115646813900534
XAB2	0.02313267395868576
TLR1	0.02315338560047203
AGO3	0.0233272510105162
RP11-548H18.2	0.02333139205444527
RP3-467L1.4	0.02333139205444527
RN7SKP148	0.02333139205444527
PARP3	0.02333139205444527
ARL4AP2	0.02346068693672155
RPS15P5	0.023466455314596672
IL17RA	0.023474802901704814
TYW5	0.0234896649920378
ZDHHC19	0.023510943738875845
CRADD	0.023510943738875845
MRVI1	0.023510943738875845
P2RX2	0.023510943738875845
UBA7	0.023528227659707593
PCMTD1	0.0236130974728186
PTRHD1	0.023682573511750123
OR5BK1P	0.02373865673415992
NTSR1	0.023738895980395185
TRMT1	0.023738895980395185
SLC25A40	0.023784786733722488
DBH-AS1	0.023798711294369897
PPP1R21	0.023815141698545657
ACE2	0.023894359746292396
UBXN2B	0.02396179852728351
CACHD1	0.02396179852728351
SLX4IP	0.02396179852728351
HARS	0.02396179852728351
CWC22	0.02396179852728351
SORT1	0.02403256995430281
TRIM26	0.024042888026855867
SELENOF	0.024054632786332245
ASMTL-AS1	0.024054632786332245
RP11-575L7.8	0.024054632786332245
ZNF513	0.024118348674583425
KIF7	0.02412432254544311
ADGRG2	0.024161780273340337
COMMD1	0.024185144130316586
C1orf115	0.024251284662663238
JAKMIP2	0.024256116377230623
SPG7	0.024256116377230623
TECR	0.024256116377230623
BRF1	0.024285582470712757
RP11-752G15.4	0.024285582470712757
PPP1R12C	0.024285582470712757
MKRN2	0.024285582470712757
RPS4XP11	0.024325946441083452
ZNF580	0.024325946441083452
PARD6B	0.024325946441083452
LINC01091	0.024325946441083452
TPST1	0.024325946441083452
C19orf53	0.024326047934033704
CTC-343N3.1	0.02433625151959653
ZNF281	0.02433670164948621
LIMS1	0.024345778537738668
RPL10P16	0.024345778537738668
SNORD68	0.024345778537738668
DAAM2	0.024345778537738668
GSDMC	0.024345778537738668
KCNE1B	0.02434939191933423
CD244	0.02435954638920997
DCXR	0.024370266527591004
MIER1	0.024408559757146592
NEXN-AS1	0.024498231828332093
NELFA	0.024552782771020316
PIP5K1C	0.024557071999143032
RP11-598O8.1	0.02461505485439145
FAM174A	0.024652362344646996
PABPC4	0.024659085519127984
SUMO3	0.024659085519127984
CHID1	0.024673483514969733
VPS28	0.024682520418321356
RB1CC1	0.024682520418321356
ZDHHC20	0.02469205206538566
AC068134.10	0.024746278438355633
GRB10	0.024746278438355633
NAALADL1	0.024758898034797937
UBA3	0.024758898034797937
EGF	0.02477936510109055
TENM1	0.02477936510109055
PLPP6	0.02488077645308122
KIAA1257	0.024934882623757846
KPNB1	0.024934882623757846
RP11-927P21.2	0.024937049860519554
SP6	0.024937049860519554
MTND5P1	0.024937049860519554
SLC35E2B	0.024937049860519554
TBXA2R	0.024968902286968776
SLC2A6	0.025069423592562194
MANBA	0.025090646573001165
RALB	0.025090646573001165
ZNF648	0.025092551429647596
MAPK14	0.02514299702634737
PSMD6-AS2	0.025180330429912766
RP11-384C4.6	0.025202359633442115
PSMB8-AS1	0.02520554577558038
SCN1B	0.02521629911789457
